MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
257766810;0;;;1;23.05.2021 15:45;;;;0;0;0;0;
257997410;0;;;1;23.05.2021 14:47;;;;0;0;0;0;
258147480;0;;;1;23.05.2021 16:00;;;;0;0;0;0;
258003260;0;;;1;25.01.2022 14:32;;;;0;0;0;0;
257968700;0;;;1;25.01.2022 13:00;;;;0;0;0;0;
259030000;0;;;1;23.05.2021 05:00;;;;0;0;0;0;
257043820;0;;;1;24.05.2021 07:30;;;;0;0;0;0;
257061990;0;;;1;24.05.2021 14:30;;;;0;0;0;0;
257063330;0;;;1;24.05.2021 12:15;;;;0;0;0;0;
257083130;0;;;1;24.05.2021 10:32;;;;0;0;0;0;
257283520;0;;Linskjær;1;24.05.2021 12:15;;;;15,51;0;0;0;
257504450;0;;;1;24.05.2021 16:30;;;;0;0;0;0;
257552590;0;;;1;24.05.2021 15:15;;;;0;0;0;0;
257566850;0;;;1;24.05.2021 14:32;;;;0;0;0;0;
257694610;0;;;1;24.05.2021 12:23;;;;0;0;0;0;
257749780;0;;;1;24.05.2021 10:30;;;;0;0;0;0;
257752570;0;;;1;24.05.2021 13:00;;;;0;0;0;0;
257844740;0;;;1;24.05.2021 09:40;;;;0;0;0;0;
257849070;0;;;1;24.05.2021 15:00;;;;0;0;0;0;
257944280;0;;;1;24.05.2021 12:01;;;;0;0;0;0;
258129330;0;;;1;24.05.2021 12:30;;;;0;0;0;0;
258137750;0;;;1;24.05.2021 11:00;;;;0;0;0;0;
258139960;0;;;1;24.05.2021 09:15;;;;0;0;0;0;
258152180;0;;;1;24.05.2021 13:15;;;;0;0;0;0;
258156150;0;;;1;24.05.2021 11:45;;;;0;0;0;0;
258156150;0;;;1;24.05.2021 15:45;;;;0;0;0;0;
258179380;0;;;1;24.05.2021 12:30;;;;0;0;0;0;
258193450;0;;;1;24.05.2021 13:58;;;;0;0;0;0;
258221680;0;;;1;24.05.2021 09:40;;;;0;0;0;0;
258592510;0;;;1;24.05.2021 13:33;;;;0;0;0;0;
258006500;0;;;1;25.05.2021 10:47;;;;0;0;0;0;
258006930;0;;;1;25.05.2021 19:30;;;;0;0;0;0;
258090950;0;;;1;25.05.2021 12:15;;;;0;0;0;0;
259030000;0;;;1;25.05.2021 21:15;;;;0;0;0;0;
257065080;-99;;MORGAN;1;19.02.2021 10:45;;;;10;0;0;0;
257127060;0;;;1;26.05.2021 15:03;;;;0;0;0;0;
258006930;0;;;1;26.05.2021 07:30;;;;0;0;0;0;
258109550;0;;;1;26.05.2021 19:21;;;;0;0;0;0;
258202080;0;;;1;26.05.2021 16:15;;;;0;0;0;0;
257094570;0;;;1;19.02.2021 11:30;;;;0;0;0;0;
257058890;0;;STJERNOY;1;27.05.2021 08:31;;;;10;0;0;0;
257125250;0;;;1;27.05.2021 16:31;;;;0;0;0;0;
